phoneno,age,gender,zipcode,calls,sms,mms,charges,coverage,complaint,sim,phone,prepost,churn
5974,1,Male,91107,160,25,1,490,0,4,Dual Sim,Andoid,Prepaid,0
4535,1,Male,90089,150,45,19,340,0,3,Dual Sim,Andoid,Prepaid,0
4016,1,Male,94720,100,39,15,110,0,1,Single Sim,Andoid,Prepaid,0
8523,2,Male,94112,270,35,9,1000,0,1,Single Sim,Andoid,Prepaid,0
5052,2,Female,91330,100,35,8,450,0,4,Single Sim,Andoid,Prepaid,0
8970,2,Male,92121,40,37,13,290,2,4,Single Sim,Andoid,Postpaid,0
9042,2,Male,91711,150,53,27,720,0,2,Single Sim,Andoid,Postpaid,0
5724,3,Female,93943,30,50,24,220,0,1,Single Sim,Andoid,Prepaid,0
9238,2,Male,90089,60,35,10,810,2,3,Single Sim,Andoid,Postpaid,0
4436,,Male,93023,890,34,9,1800,0,1,Single Sim,Andoid,Prepaid,1
3455,3,Male,94710,240,65,39,1050,0,4,Single Sim,Andoid,Prepaid,0
8784,2,Male,90277,10,29,5,450,0,3,Single Sim,Andoid,Postpaid,0
1582,3,Male,93106,,48,23,1140,0,2,Dual Sim,Andoid,Prepaid,0
9392,2,Male,94920,250,59,32,400,0,4,Single Sim,Andoid,Postpaid,0
4702,1,Male,91741,200,67,41,1120,0,1,Dual Sim,Andoid,Prepaid,0
2981,3,Female,95054,150,60,30,220,0,1,Single Sim,Andoid,Postpaid,0
4288,3,Male,95010,470,38,14,1300,2,4,Single Sim,Andoid,Prepaid,1
3273,1,Male,94305,240,42,18,810,0,4,Single Sim,Andoid,Prepaid,0
1382,3,Male,91604,810,46,21,1930,0,2,Single Sim,Andoid,Prepaid,1
9859,2,Female,94720,50,55,28,210,0,1,Dual Sim,Andoid,Prepaid,0
3775,2,Male,94015,90,56,31,250,2,0,Single Sim,Andoid,Postpaid,0
3195,3,Male,90095,200,57,27,630,0,3,Single Sim,Andoid,Postpaid,0
7336,1,Male,90277,120,29,5,620,3,1,Single Sim,Andoid,Postpaid,0
8251,1,Male,91320,70,44,18,430,2,2,Dual Sim,Andoid,Prepaid,0
5260,1,Female,95521,390,36,11,1520,2,2,Single Sim,Andoid,Prepaid,0
1254,1,Male,94305,50,43,19,290,1,3,Single Sim,Andoid,Postpaid,0
6388,3,Male,95064,20,40,16,830,0,4,Single Sim,Andoid,Prepaid,0
9030,1,Female,90064,240,46,20,1580,0,1,Single Sim,Andoid,Postpaid,0
5182,3,Female,94539,220,56,30,480,0,1,Single Sim,Andoid,Postpaid,0
1672,2,Female,94104,330,38,13,1190,0,1,Single Sim,IOS,Postpaid,1
2872,3,Male,93106,120,59,35,350,2,1,Single Sim,Andoid,Postpaid,0
2301,2,Male,94117,200,40,16,290,0,1,Single Sim,Andoid,Postpaid,0
7594,3,Male,94801,60,53,28,410,2,2,Single Sim,Andoid,Prepaid,0
1656,3,Male,91330,90,30,6,180,0,3,Single Sim,Andoid,Prepaid,0
9213,3,Male,94035,180,31,5,500,0,4,Single Sim,Andoid,Postpaid,0
1247,1,Male,92647,70,48,24,810,0,3,Single Sim,Andoid,Prepaid,0
6747,1,Female,94720,290,59,35,1210,0,1,Single Sim,Andoid,Prepaid,0
9696,,Male,95814,140,51,25,710,2,1,Single Sim,Andoid,Prepaid,0
3813,3,Male,94114,500,42,18,1410,0,3,Dual Sim,IOS,Postpaid,1
6234,3,Male,94115,70,38,13,800,3,4,Single Sim,Andoid,Postpaid,0
9359,3,Male,92672,160,57,32,840,0,3,Dual Sim,Andoid,Prepaid,0
2183,1,Male,94122,230,34,9,600,0,3,Single Sim,Andoid,Prepaid,0
9476,2,Male,90019,,32,7,1320,5,4,Single Sim,Andoid,Postpaid,1
9073,1,Male,95616,70,39,15,450,0,1,Single Sim,Andoid,Postpaid,0
4455,1,Female,94065,570,46,20,1040,0,1,Single Sim,Andoid,Postpaid,0
7245,1,Female,94720,250,57,31,520,0,4,Single Sim,Andoid,Prepaid,0
4695,2,Male,95014,70,39,14,430,2,3,Single Sim,Andoid,Postpaid,0
4647,3,Female,91380,20,37,12,1940,3,4,Dual Sim,IOS,Postpaid,1
2318,3,Female,95747,450,56,26,810,0,2,Single Sim,Andoid,Prepaid,0
1219,1,Female,92373,180,40,16,490,0,1,Single Sim,Andoid,Prepaid,0
8029,2,Male,92093,70,32,8,80,0,4,Dual Sim,Andoid,Postpaid,0
5358,1,Male,94720,290,61,37,1310,0,1,Single Sim,Andoid,Postpaid,0
1642,1,Male,94005,10,30,6,720,3,1,Single Sim,Andoid,Prepaid,0
7534,3,Male,90245,210,50,26,1900,3,3,Single Sim,Andoid,Postpaid,1
2440,3,Male,95819,20,29,5,440,0,1,Single Sim,Andoid,Postpaid,0
1741,1,Male,94022,800,41,17,1390,0,2,Single Sim,Andoid,Postpaid,0
8498,2,Male,94005,10,55,30,290,0,3,Dual Sim,IOS,Postpaid,0
8063,3,Male,95616,120,56,31,1310,0,2,Single Sim,Andoid,Prepaid,1
4545,,Male,94065,,28,2,930,0,0,Single Sim,Andoid,Prepaid,0
8982,1,Male,91320,450,31,5,1880,5,2,Single Sim,Andoid,Prepaid,0
3221,2,Male,90404,170,49,24,390,0,3,Dual Sim,Andoid,Postpaid,0
7872,1,Male,93407,570,47,21,1250,2,1,Dual Sim,Andoid,Prepaid,0
2397,1,Male,90089,100,42,18,220,0,1,Single Sim,Andoid,Prepaid,0
1986,2,Male,94523,0,42,17,320,0,4,Single Sim,Andoid,Postpaid,0
3682,1,Male,90024,330,47,23,1050,0,2,Single Sim,Andoid,Prepaid,0
6742,1,Female,91360,380,59,35,1310,0,1,Single Sim,Andoid,Postpaid,0
8455,1,Male,95670,280,62,36,1050,4,2,Single Sim,Andoid,Prepaid,0
1294,3,Male,95123,200,53,23,450,2,4,Dual Sim,Andoid,Prepaid,0
9677,1,Female,93407,210,47,21,600,0,3,Single Sim,Andoid,Postpaid,0
7670,1,Male,90045,20,53,29,200,0,4,Single Sim,Andoid,Postpaid,0
8295,1,Female,91335,350,42,18,1150,0,1,Single Sim,Andoid,Prepaid,0
4772,2,Male,93907,100,53,29,690,0,4,Single Sim,Andoid,Postpaid,0
4610,1,Female,92007,500,44,20,1300,0,1,Single Sim,Andoid,Prepaid,0
1310,3,Female,94606,400,41,16,850,0,1,Single Sim,Andoid,Postpaid,0
4972,1,Female,94611,330,28,3,1350,0,2,Single Sim,Andoid,Prepaid,0
6434,2,Female,94901,380,31,7,1350,0,4,Single Sim,IOS,Postpaid,1
8245,3,Male,91320,30,58,32,120,0,3,Single Sim,Andoid,Prepaid,0
9249,2,Male,92220,50,46,20,290,0,3,Single Sim,Andoid,Prepaid,0
5549,3,Male,93305,260,54,30,1330,0,2,Single Sim,Andoid,Prepaid,1
1356,1,Male,94720,40,50,26,190,2,2,Single Sim,Andoid,Postpaid,0
9900,1,Female,95134,130,60,36,410,2,4,Single Sim,Andoid,Postpaid,0
8117,,Male,94612,270,47,22,400,0,3,Single Sim,Andoid,Postpaid,0
1930,3,Male,92507,400,41,16,820,0,1,Single Sim,Andoid,Postpaid,0
2359,2,Male,94305,240,33,9,500,0,1,Single Sim,Andoid,Prepaid,0
3535,3,Male,91730,,46,22,180,0,1,Single Sim,Andoid,Postpaid,0
5104,3,Male,94005,180,27,2,1090,0,4,Single Sim,Andoid,Prepaid,0
4319,2,Male,94501,220,40,16,420,2,4,Single Sim,Andoid,Prepaid,0
2358,1,Male,94305,110,48,22,780,0,3,Single Sim,Andoid,Postpaid,0
4753,1,Male,94117,110,65,41,510,0,2,Single Sim,Andoid,Postpaid,0
2336,3,Female,94303,230,25,-1,1130,0,4,Single Sim,Andoid,Prepaid,0
6915,2,Male,90277,560,55,30,1180,0,4,Single Sim,Andoid,Postpaid,1
6827,3,Male,94105,110,35,10,290,0,4,Single Sim,Andoid,Postpaid,0
1428,2,Male,94305,60,43,19,340,0,3,Single Sim,Andoid,Prepaid,0
5170,3,Male,94550,170,60,34,640,3,2,Dual Sim,Andoid,Postpaid,0
3732,1,Male,92612,200,65,39,1210,0,1,Single Sim,Andoid,Prepaid,0
4678,3,Male,95617,20,38,12,480,0,4,Single Sim,Andoid,Postpaid,0
2992,1,Male,95014,520,41,15,800,0,1,Single Sim,Andoid,Prepaid,0
4758,1,Male,92121,290,54,28,1610,0,1,Single Sim,Andoid,Postpaid,0
7246,1,Male,92374,30,49,23,940,0,0,Single Sim,Andoid,Postpaid,0
4886,3,Male,91711,10,66,41,150,0,3,Single Sim,Andoid,Postpaid,0
1861,1,Male,94080,120,48,23,740,0,1,Single Sim,Andoid,Postpaid,0
1611,2,Male,94608,130,61,36,300,0,3,Single Sim,Andoid,Prepaid,0
2618,3,Female,93555,100,53,23,440,2,3,Single Sim,Andoid,Postpaid,0
5976,2,Male,95670,30,43,18,220,0,2,Single Sim,Andoid,Postpaid,0
1633,1,Female,93311,130,56,32,380,2,4,Single Sim,Andoid,Postpaid,0
9367,2,Male,94704,10,24,0,350,0,3,Dual Sim,Andoid,Postpaid,0
8282,1,Female,92717,290,43,17,690,0,4,Single Sim,Andoid,Postpaid,0
6012,1,Male,92037,70,42,18,430,2,1,Single Sim,Andoid,Prepaid,0
5003,3,Male,95136,60,33,7,320,2,1,Single Sim,Andoid,Postpaid,0
1346,1,Male,94542,280,43,17,490,0,1,Single Sim,Andoid,Postpaid,0
1234,2,Male,91330,100,41,14,90,0,3,Single Sim,Andoid,Prepaid,0
7536,2,Male,94143,130,62,38,450,0,4,Single Sim,Andoid,Postpaid,0
1180,1,Male,91775,100,40,15,820,4,3,Single Sim,Andoid,Prepaid,0
3942,1,Male,92703,280,58,34,920,2,2,Single Sim,Andoid,Prepaid,0
5422,,Male,92354,50,39,14,390,0,3,Single Sim,Andoid,Postpaid,0
2123,2,Male,92024,180,65,40,810,0,3,Single Sim,Andoid,Postpaid,0
9774,2,Male,92831,150,54,29,350,0,1,Single Sim,Andoid,Postpaid,0
6440,3,Male,92833,230,58,33,610,2,2,Single Sim,Andoid,Postpaid,0
1145,1,Male,92647,300,41,16,730,0,3,Single Sim,Andoid,Postpaid,0
9889,1,Male,94304,460,32,7,1120,4,1,Single Sim,Andoid,Prepaid,0
3895,3,Male,90057,20,54,29,120,0,2,Single Sim,Andoid,Postpaid,0
4519,3,Male,91711,90,52,26,380,0,3,Single Sim,Andoid,Postpaid,0
8406,2,Female,94523,70,58,32,730,0,2,Single Sim,Andoid,Postpaid,0
4853,2,Male,92130,360,37,13,840,0,1,Dual Sim,Andoid,Prepaid,0
3287,1,Male,92121,240,39,15,780,2,4,Single Sim,Andoid,Postpaid,0
2113,1,Male,91301,50,60,35,800,0,3,Single Sim,Andoid,Postpaid,0
6986,1,Female,92096,130,31,5,1150,2,2,Single Sim,Andoid,Postpaid,0
3998,2,Male,92646,270,34,8,820,3,1,Single Sim,Andoid,Postpaid,0
2180,1,Male,92182,0,38,14,740,0,2,Dual Sim,Andoid,Postpaid,0
7837,3,Female,92131,50,41,16,700,0,3,Single Sim,Andoid,Prepaid,0
3342,1,Male,94801,150,28,4,810,3,3,Single Sim,Andoid,Postpaid,0
8638,2,Female,93720,720,58,34,1490,0,4,Single Sim,IOS,Postpaid,1
8957,3,Male,90840,175,31,1,510,0,2,Single Sim,Andoid,Prepaid,0
8662,2,Male,90245,110,30,4,390,0,3,Single Sim,Andoid,Postpaid,0
7221,2,Male,95035,180,53,29,980,0,3,Single Sim,Andoid,Prepaid,0
7610,1,Female,93010,,58,33,450,0,4,Single Sim,Andoid,Postpaid,0
7038,,Male,95035,250,59,32,490,0,4,Single Sim,Andoid,Postpaid,0
7979,1,Male,95054,40,49,25,1280,0,2,Single Sim,Andoid,Prepaid,0
3157,1,Female,94928,150,59,34,420,0,3,Dual Sim,IOS,Prepaid,0
7496,3,Male,93305,120,59,35,180,0,1,Single Sim,Andoid,Postpaid,0
3340,3,Female,90245,40,51,25,310,2,2,Single Sim,Andoid,Postpaid,0
3276,1,Female,95831,200,35,11,580,2,3,Single Sim,Andoid,Postpaid,0
1780,3,Female,91770,210,33,9,480,0,1,Single Sim,Andoid,Prepaid,0
4848,1,Female,94117,160,25,1,540,0,4,Single Sim,Andoid,Postpaid,0
8927,2,Male,92093,150,49,23,700,0,2,Single Sim,Andoid,Prepaid,0
3590,1,Female,90007,740,59,35,1240,0,1,Single Sim,Andoid,Prepaid,0
9517,2,Female,94102,267,46,19,840,0,1,Single Sim,Andoid,Postpaid,0
4065,3,Male,94542,360,50,25,830,2,4,Single Sim,Andoid,Postpaid,0
4938,1,Male,91423,40,52,28,1630,2,2,Single Sim,Andoid,Postpaid,0
9220,2,Male,93955,220,48,22,420,0,3,Single Sim,Andoid,Prepaid,0
3301,1,Female,94107,750,46,22,1180,0,2,Single Sim,IOS,Postpaid,0
4781,3,Female,92834,650,26,0,1320,0,3,Single Sim,Andoid,Prepaid,1
1598,1,Female,93117,130,57,32,240,0,1,Single Sim,Andoid,Postpaid,0
9415,1,Female,94551,100,60,36,220,0,2,Dual Sim,IOS,Postpaid,0
4483,3,Male,92612,130,54,29,580,0,4,Single Sim,Andoid,Prepaid,0
2229,1,Male,94596,160,24,0,600,0,4,Single Sim,Andoid,Postpaid,0
8914,1,Female,92131,40,26,0,150,0,4,Single Sim,Andoid,Prepaid,0
7095,1,Female,94025,267,41,17,830,0,4,Single Sim,Andoid,Postpaid,0
6148,3,Female,94720,150,32,6,790,0,2,Single Sim,Andoid,Postpaid,0
8686,2,Male,94545,170,61,35,410,0,4,Dual Sim,Andoid,Postpaid,0
9416,3,Male,95819,650,29,0,1340,0,4,Single Sim,Andoid,Prepaid,1
2323,1,Male,95053,280,61,35,800,0,0,Single Sim,Andoid,Postpaid,0
9136,1,Male,90036,200,38,12,520,0,1,Single Sim,Andoid,Prepaid,0
